mobile,firstName,lastName,package
2.54708E+11,Rita,Kiptoo,5120
793928485,Alex,Mutua,5120
733569097,Linda,Mwangi,3072
717706000,Peter,Mutua,3072
743035573,Ann,Otieno,1024
0t2s431243,Kevin,Kariuki,500
2.54774E+11,Linda,Kariuki,50
2.54792E+11,Daniel,Mutua,350
745707437,Irene,Mutua,100
718935148,Ann,Wambui,100
702264069,Cynthia,Mwangi,50
717708290,Samuel,Mwangi,100
2.54705E+11,Brian,Njoroge,3072
2.54742E+11,David,Achieng,50
2.54725E+11,Daniel,Kariuki,3072
2.54718E+11,John,Kiptoo,3072
716080996,David,Omondi,2048
723130082,Mary,Njoroge,500
721238660,Samuel,Omondi,5120
723771638,Cynthia,Korir,1024
2.54753E+11,Daniel,Kiptoo,500
723345953,Brian,Kiptoo,50
729778095,Samuel,Mutiso,100
712994028,Alex,Kariuki,200
710820779,Grace,Kariuki,50
735564887,Irene,Njoroge,100
790191600,Rita,Kiptoo,100
2.54796E+11,Rita,Kiptoo,5120
711242604,John,Njoroge,200
712955495,Brian,Njoroge,2048
2.54716E+11,Ann,Mutiso,500
729827277,David,Wambui,3072
2.54793E+11,John,Achieng,350
705711088,Rita,Otieno,2048
736576734,Rita,Otieno,500
p718626672,David,Kiptoo,100
744561403,Samuel,Odhiambo,1024
779231317,Grace,Njoroge,100
2.54772E+11,David,Mutiso,50
703272643,Jane,Korir,2048
2.54713E+11,David,Mwangi,100
720255202,Irene,Wambui,100
740655682,Samuel,Wambui,5120
2.54794E+11,Brian,Wambui,200
700698377,Kevin,Njoroge,3072
739562416,Linda,Mwangi,2048
704435862,Brian,Omondi,200
710777072,Linda,Ochieng,50
701043361,Kevin,Korir,500
2.54701E+11,Jane,Omondi,5120
743330780,Kevin,Kiptoo,3072
2.54796E+11,Jane,Korir,50
742966312,Brian,Mwangi,500
2.54799E+11,Samuel,Odhiambo,50
719840019,Ann,Achieng,50
728951998,Cynthia,Odhiambo,200
2.54795E+11,Jane,Ochieng,50
2.54724E+11,David,Mutiso,5120
2.54736E+11,Linda,Mutiso,1024
2.54703E+11,Daniel,Mutiso,3072
2.54796E+11,Daniel,Otieno,500
712115151,Kevin,Mutiso,3072
711367457,Kevin,Kariuki,5120
720258900,Brian,Odhiambo,1024
725240335,David,Otieno,100
728687847,Irene,Achieng,50
724699382,David,Kamau,100
794778045,David,Wambui,50
716408250,Daniel,Mwangi,50
726871151,Brian,Kariuki,1024
746542853,David,Kamau,200
7206365,Mary,Otieno,5120
2.54754E+11,Irene,Achieng,5120
2.54725E+11,Irene,Mutiso,50
2.54712E+11,Jane,Korir,500
709352586,Samuel,Mwangi,3072
746093418,Rita,Ochieng,200
733210269,Daniel,Wambui,5120
721691032,Alex,Ochieng,3072
743181600,Alex,Mutua,100
2.54743E+11,John,Otieno,100
729427833,Cynthia,Achieng,1024
798399679,Brian,Otieno,5120
2.54795E+11,David,Njoroge,2048
794513728,Samuel,Kiptoo,350
2.54723E+11,Grace,Njoroge,5120
254X19671311,Mary,Omondi,3072
756603048,Peter,Achieng,100
B735800632,Rita,Kiptoo,50
2.54724E+11,Peter,Kariuki,350
721149925,Irene,Kamau,100
2.54704E+11,Rita,Kiptoo,5120
709547425,Ann,Korir,350
720382340,Jane,Kamau,500
7442759,Cynthia,Kiptoo,1024
25471882,Jane,Korir,5120
778568179,Ann,Otieno,200
712156000,Kevin,Otieno,1024
702845120,Rita,Wambui,3072
706070839,Samuel,Mutiso,500
717919038,Peter,Wambui,350
2.54712E+11,Brian,Mwangi,2048
731128961,David,Ochieng,500
2.54799E+11,Irene,Kiptoo,5120
721453402,Samuel,Omondi,3072
2.54722E+11,Mary,Otieno,350
2.54728E+11,Samuel,Mutiso,2048
797653952,Peter,Otieno,50
716314848,Daniel,Odhiambo,350
0701G6r324,Daniel,Achieng,350
074549031R,Cynthia,Mutua,350
07924gG304,Brian,Achieng,100
727958840,Cynthia,Otieno,100
0T26X53481,Rita,Kariuki,50
2.5472E+11,Rita,Kiptoo,2048
754696286,Samuel,Mutiso,50
735580287,Grace,Njoroge,100
748155258,Kevin,Kariuki,1024
2.54706E+11,Ann,Achieng,200
718808126,Mary,Otieno,2048
07508c85h3,Alex,Ochieng,1024
751686792,David,Kariuki,5120
2.54701E+11,Irene,Kariuki,2048
2.54795E+11,Cynthia,Mutiso,200
731371005,Brian,Ochieng,350
793240165,Cynthia,Wambui,200
736716288,Jane,Kiptoo,50
2.54739E+11,Ann,Wambui,50
2.54796E+11,Kevin,Ochieng,2048
2.54752E+11,Daniel,Kiptoo,100
2.54713E+11,Jane,Mutiso,100
720152837,Daniel,Mutua,2048
2.54729E+11,Brian,Njoroge,5120
736724264,Irene,Mwangi,1024
731799377,Rita,Omondi,5120
756786394,Linda,Njoroge,500
2.54702E+11,Peter,Kariuki,2048
744173582,Mary,Kiptoo,1024
07f6647348,Peter,Mutiso,2048
2.54714E+11,Alex,Korir,350
745460945,Daniel,Mwangi,5120
714394418,Samuel,Achieng,350
719994811,David,Wambui,2048
2.54717E+11,Rita,Odhiambo,3072
2.54799E+11,Rita,Kiptoo,3072
2.54729E+11,Peter,Odhiambo,500
798241281,John,Achieng,5120
744809451,John,Wambui,50
2.54742E+11,David,Odhiambo,500
740717945,David,Achieng,350
771159534,Irene,Achieng,3072
773253755,Samuel,Korir,2048
717006950,David,Achieng,2048
2.54743E+11,Jane,Kiptoo,1024
700771994,Samuel,Korir,100
728172886,Irene,Odhiambo,2048
723062300,Grace,Ochieng,3072
756154889,John,Odhiambo,2048
706985474,Brian,Omondi,2048
748377481,Daniel,Ochieng,100
758405305,David,Mutua,100
07W778E146,Grace,Kiptoo,50
2.54712E+11,Linda,Kariuki,200
2.54714E+11,Samuel,Kamau,100
719797524,Kevin,Otieno,100
794,Daniel,Mutiso,5120
740780509,Alex,Kamau,5120
798534634,Mary,Otieno,2048
755951998,Kevin,Mutua,2048
721756907,Kevin,Wambui,5120
728345729,Irene,Otieno,100
2.54709E+11,Ann,Ochieng,100
704433717,Daniel,Njoroge,5120
2.54707E+11,Grace,Mutua,5120
0H2775555l,John,Korir,100
718218529,Jane,Korir,3072
791932550,Samuel,Omondi,100
2.5472E+11,David,Wambui,50
719415428,Cynthia,Omondi,5120
791892515,Jane,Achieng,5120
254775,John,Achieng,500
2.54742E+11,Alex,Wambui,500
710438269,Daniel,Mutiso,2048
795044881,Alex,Mwangi,2048
715241988,Jane,Kiptoo,50
704330080,David,Achieng,1024
2.54742E+11,Samuel,Mwangi,100
741963479,Kevin,Otieno,200
25471q520480,Linda,Odhiambo,350
702739491,John,Wambui,2048
2.54703E+11,Linda,Achieng,100
2.54709E+11,Samuel,Mutua,2048
254,Samuel,Omondi,2048
2.54776E+11,Samuel,Mwangi,50
797658613,Brian,Achieng,500
798879500,Peter,Kariuki,100
2.54723E+11,Grace,Omondi,1024
726192620,Irene,Kamau,100
2.54774E+11,Grace,Ochieng,2048
2.54747E+11,Peter,Kariuki,2048
793612306,Grace,Achieng,3072
701446600,Daniel,Kariuki,200
2.54725E+11,John,Omondi,1024
738221618,David,Korir,50
2.54776E+11,Brian,Kamau,200
254i10326250,Ann,Mwangi,3072
2.5472E+11,Ann,Wambui,2048
721144899,Peter,Kamau,100
2.54748E+11,Linda,Ochieng,500
722858229,Grace,Njoroge,50
798913029,Brian,Odhiambo,50
2.54728E+11,John,Achieng,100
703806336,Cynthia,Korir,100
732675687,Grace,Otieno,2048
743897755,Cynthia,Korir,1024
794406772,Irene,Odhiambo,50
725352782,Grace,Korir,50
749725289,Daniel,Kariuki,2048
730295980,Jane,Kamau,1024
2.54747E+11,Linda,Mutiso,50
719278433,Brian,Mwangi,100
771130674,Cynthia,Mwangi,3072
797486391,Daniel,Ochieng,200
0733y20195,David,Achieng,5120
721762729,Irene,Achieng,3072
709851966,Daniel,Ochieng,1024
737674356,David,Korir,50
254745,Peter,Ochieng,1024
2.54717E+11,Ann,Mwangi,5120
740883028,Alex,Kamau,1024
727169760,David,Mutiso,5120
2.54713E+11,Alex,Odhiambo,5120
2.54774E+11,Daniel,Omondi,5120
712584700,Linda,Odhiambo,100
7905225,Ann,Achieng,350
2.54731E+11,David,Mutiso,5120
705769896,Irene,Odhiambo,200
797406991,Linda,Mwangi,50
2.54719E+11,Ann,Achieng,50
719150136,Rita,Mutiso,50
700360764,Grace,Mwangi,3072
779962746,Irene,Omondi,500
705020737,Jane,Kariuki,2048
792912924,Rita,Omondi,3072
733328702,Brian,Mutiso,200
755203431,Mary,Mutua,2048
790595557,Linda,Mwangi,500
2.54735E+11,Irene,Kariuki,100
2.54798E+11,Cynthia,Ochieng,1024
754246805,Irene,Achieng,50
25472141K746,Daniel,Wambui,5120
728154980,Mary,Kariuki,50
71,Mary,Mwangi,100
740128769,John,Njoroge,3072
727458373,Peter,Achieng,500
74,Samuel,Ochieng,500
2.5477E+11,Brian,Mwangi,1024
727639446,Rita,Otieno,350
2.54712E+11,Linda,Korir,200
704205075,Rita,Kamau,5120
074580210Y,Brian,Ochieng,3072
751140717,Samuel,Achieng,500
797634813,Ann,Wambui,3072
2.54751E+11,Samuel,Achieng,3072
728326536,Ann,Mutua,200
706683992,David,Korir,200
2.54793E+11,Brian,Korir,2048
717725770,Samuel,Odhiambo,500
2.54707E+11,John,Kamau,350
794750115,Daniel,Njoroge,5120
718044567,Daniel,Kiptoo,200
732883017,Samuel,Korir,1024
712653640,Peter,Otieno,100
709632817,Cynthia,Odhiambo,1024
730663338,Cynthia,Kiptoo,100
701538934,John,Wambui,2048
770378184,Linda,Ochieng,200
700,Cynthia,Achieng,3072
709801158,David,Korir,50
712520722,Ann,Otieno,100
2.54725E+11,Kevin,Kariuki,500
748606049,John,Mutiso,500
797312463,Alex,Kamau,50
2.54725E+11,Alex,Kamau,100
713731326,Grace,Kariuki,1024
797759551,Brian,Omondi,5120
748288349,Grace,Mutua,350
2.54721E+11,Irene,Mutiso,200
2.54707E+11,Peter,Korir,50
703978039,Grace,Wambui,3072
732392995,Rita,Kariuki,1024
701366028,Peter,Ochieng,200
2.54793E+11,Mary,Kiptoo,3072
715262608,Rita,Achieng,5120
793496901,Linda,Omondi,1024
791200618,Mary,Kariuki,50
2.5473E+11,Linda,Wambui,350
723779762,Samuel,Ochieng,500
755911657,Rita,Mutiso,50
2.54745E+11,Brian,Kamau,1024
725726098,Kevin,Korir,1024
716872804,Alex,Kariuki,2048
747404443,Linda,Achieng,2048
721366423,Mary,Njoroge,100
721145307,Mary,Kariuki,350
717157467,Peter,Kariuki,350
772724985,Irene,Omondi,2048
746458255,Jane,Korir,2048
747010908,Irene,Mutua,1024
25479637217S,Brian,Kiptoo,1024
2.54723E+11,Mary,Kamau,500
2.54798E+11,Kevin,Achieng,5120
0Q94859232,Kevin,Achieng,3072
2.54746E+11,Mary,Mwangi,100
779375036,Peter,Mutua,1024
705589401,John,Mwangi,1024
723240428,David,Wambui,100
742217595,David,Kamau,350
744439331,Brian,Odhiambo,100
744985065,Peter,Mwangi,100
727197646,Daniel,Mutiso,100
2.54711E+11,Brian,Omondi,100
2.54721E+11,Cynthia,Mwangi,100
790451337,John,Korir,5120
7194,Alex,Achieng,1024
704933426,Alex,Otieno,50
740825160,Irene,Kariuki,1024
700625555,Kevin,Odhiambo,350
799519480,Samuel,Odhiambo,2048
797890402,Brian,Kamau,2048
754935173,Samuel,Mwangi,3072
725287403,Jane,Otieno,350
727884523,Rita,Mutua,1024
2.54708E+11,Mary,Korir,350
2547,John,Odhiambo,350
2.54728E+11,John,Otieno,50
2.54715E+11,David,Ochieng,100
745603739,Mary,Kariuki,2048
705618369,Brian,Kamau,50
719470571,Brian,Wambui,100
07020Y542O,Grace,Achieng,200
734974855,Samuel,Korir,500
795786224,Jane,Odhiambo,2048
790207401,Daniel,Kariuki,3072
796463263,David,Achieng,5120
707736240,Samuel,Odhiambo,350
7431089,Rita,Korir,1024
07788Q2851,Grace,Wambui,200
2.5478E+11,Irene,Mutiso,2048
2.548E+11,Alex,Ochieng,5120
708364156,Kevin,Njoroge,200
718282594,Daniel,Kiptoo,5120
757941557,Brian,Achieng,100
2.54747E+11,Samuel,Kariuki,1024
734334309,Linda,Kiptoo,100
703614486,David,Mutua,350
797,Alex,Achieng,50
0721Nb7066,Mary,Kariuki,200
707827202,Brian,Njoroge,1024
792531568,Brian,Mutiso,5120
2.54732E+11,Kevin,Mwangi,2048
2.54724E+11,Brian,Mwangi,1024
706713734,Alex,Achieng,50
707197173,Mary,Odhiambo,50
2.54724E+11,Daniel,Kariuki,3072
2.5475E+11,Irene,Omondi,2048
2.54709E+11,Linda,Kariuki,100
2.54715E+11,Irene,Mutua,5120
715512552,Grace,Mutiso,50
718457632,Ann,Omondi,1024
2.54732E+11,Brian,Mwangi,200
747071961,Daniel,Mutua,5120
747161463,Mary,Njoroge,50
2.54702E+11,Cynthia,Wambui,3072
798513302,Samuel,Wambui,500
7008268,Linda,Njoroge,5120
751569020,Ann,Odhiambo,5120
730108918,Daniel,Kamau,500
798973240,Daniel,Achieng,500
706608228,Rita,Kiptoo,1024
j5d797204604,Irene,Kamau,350
740496750,Jane,Kamau,1024
2.54798E+11,Grace,Odhiambo,2048
2.547E+11,Cynthia,Achieng,1024
2.54701E+11,Cynthia,Mwangi,5120
796036859,Brian,Mutua,50
2.54746E+11,Daniel,Mutua,5120
700063579,Kevin,Kiptoo,3072
711309434,Cynthia,Mutua,2048
2.54797E+11,Jane,Otieno,5120
2.54773E+11,Irene,Njoroge,3072
749664962,Daniel,Otieno,100
712246362,David,Ochieng,3072
2.54704E+11,Ann,Mutua,2048
Ys41049110,Daniel,Kariuki,3072
2.5473E+11,Ann,Ochieng,200
726689219,Irene,Achieng,100
703977529,Rita,Otieno,5120
2.54796E+11,John,Otieno,50
771495185,Ann,Mutiso,350
2.54748E+11,Grace,Achieng,5120
2.54718E+11,Irene,Mutua,100
254V02714886,Grace,Njoroge,200
2.54719E+11,David,Korir,2048
2.54746E+11,Mary,Kariuki,50
703892482,Irene,Omondi,500
2.5472E+11,John,Kamau,350
729081792,Samuel,Kiptoo,2048
718325856,Jane,Mutiso,100
25x719063605,Peter,Otieno,1024
2.54724E+11,Jane,Njoroge,500
2.54745E+11,Kevin,Mutiso,3072
25474337,Ann,Mutua,200
704189086,Brian,Otieno,5120
791525033,Daniel,Ochieng,200
7291048,Irene,Kiptoo,200
k712217230,Kevin,Njoroge,100
796261589,Rita,Omondi,1024
715741989,Linda,Mwangi,200
723686373,Daniel,Mutua,50
721796447,Ann,Omondi,100
796401074,David,Kiptoo,3072
708530852,Linda,Wambui,5120
790327869,Jane,Korir,3072
2.54701E+11,Cynthia,Odhiambo,3072
793207817,John,Ochieng,2048
723299761,Ann,Omondi,500
720598041,Rita,Otieno,200
2.54771E+11,David,Ochieng,500
729785766,Jane,Njoroge,50
720798,Samuel,Otieno,2048
738566485,Cynthia,Otieno,200
705667145,Daniel,Korir,2048
792834877,Alex,Njoroge,3072
794543945,Ann,Kamau,5120
714709744,Linda,Kamau,100
70,Ann,Mutua,350
737543929,John,Njoroge,3072
2.54712E+11,Samuel,Mwangi,350
2.54736E+11,Cynthia,Mwangi,100
707673966,Grace,Mutiso,350
798770433,Ann,Ochieng,1024
724901746,Rita,Kariuki,500
v716096720,David,Achieng,3072
746860267,David,Omondi,350
794100593,Jane,Kariuki,350
25474119F184,Irene,Odhiambo,2048
795710510,Samuel,Njoroge,100
2.54706E+11,Kevin,Korir,500
2.54706E+11,Samuel,Korir,50
2.54759E+11,Brian,Achieng,3072
2.54778E+11,David,Odhiambo,2048
0G20507259,Samuel,Wambui,2048
754644230,Peter,Kiptoo,2048
2.548E+11,Peter,Mutua,5120
742378525,Cynthia,Mutua,3072
776396388,Brian,Kamau,350
741185453,Rita,Korir,5120
741911898,John,Korir,5120
2.54799E+11,Kevin,Mwangi,3072
721638397,Jane,Mutua,350
701927718,Alex,Mutiso,200
2.54715E+11,Brian,Ochieng,500
792748455,Brian,Mutua,350
704874770,Daniel,Omondi,5120
708716092,Ann,Njoroge,1024
2.54777E+11,Rita,Mutiso,1024
2.54706E+11,Alex,Achieng,3072
2.54772E+11,Ann,Achieng,100
2.54707E+11,John,Mutiso,1024
702068831,Brian,Mwangi,3072
738020595,John,Mutiso,50
2.54716E+11,Alex,Mwangi,5120
706009769,John,Otieno,1024
791895212,Samuel,Mutiso,1024
707678051,Rita,Korir,350
2.54791E+11,Peter,Achieng,200
746191856,Kevin,Achieng,2048
2.54747E+11,Linda,Otieno,5120
2547,John,Kiptoo,5120
254723,Mary,Otieno,200
722220909,Irene,Omondi,2048
2.54719E+11,Jane,Mutua,5120
791607503,Kevin,Kiptoo,350
07l6916153,Brian,Mutua,350
